,province,fire
0,Trà Vinh,0
1,Phú Thọ,9
2,Cà Mau,1
3,Thanh Hoá,0
4,Ninh Thuận,11
5,TP. Hồ Chí Minh,0
6,Quảng Nam,13
7,Bình Định,1
8,Bắc Giang,0
9,Đồng Nai,1
10,Bắc Kạn,12
11,Nghệ An,13
12,Bình Thuận,12
13,Tiền Giang,0
14,Đắk Nông,48
15,Quảng Trị,0
16,Long An,0
17,Điện Biên,23
18,Lai Châu,10
19,Quảng Ngãi,4
20,Hà Tĩnh,5
21,Thái Nguyên,8
22,Đồng Tháp,3
23,Sóc Trăng,0
24,Lâm Đồng,12
25,Khánh Hoà,2
26,Kiên Giang,0
27,Thừa Thiên - Huế,2
28,Quảng Ninh,26
29,Bến Tre,0
30,Gia Lai,70
31,Vĩnh Phúc,0
32,Lào Cai,3
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,2
35,Phú Yên,1
36,Cao Bằng,14
37,Hải Phòng,0
38,Tuyên Quang,23
39,Đắk Lắk,56
40,Hải Dương,0
41,Kon Tum,61
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,17
45,Hà Giang,0
46,Thái Bình,0
47,Lạng Sơn,31
48,Sơn La,37
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,8
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,32
57,Hà Nam,0
58,Tây Ninh,2
59,Bình Dương,0
60,Nam Định,0
61,Yên Bái,10
62,An Giang,1
