,province,fire
0,Trà Vinh,16
1,Phú Thọ,33
2,Cà Mau,29
3,Thanh Hoá,50
4,Ninh Thuận,12
5,TP. Hồ Chí Minh,25
6,Quảng Nam,62
7,Bình Định,70
8,Bắc Giang,36
9,Đồng Nai,52
10,Bắc Kạn,25
11,Nghệ An,17
12,Bình Thuận,39
13,Tiền Giang,20
14,Đắk Nông,27
15,Quảng Trị,12
16,Long An,62
17,Điện Biên,210
18,Lai Châu,64
19,Quảng Ngãi,83
20,Hà Tĩnh,23
21,Thái Nguyên,44
22,Đồng Tháp,44
23,Sóc Trăng,21
24,Lâm Đồng,10
25,Khánh Hoà,76
26,Kiên Giang,71
27,Thừa Thiên - Huế,38
28,Quảng Ninh,48
29,Bến Tre,26
30,Gia Lai,43
31,Vĩnh Phúc,2
32,Lào Cai,27
33,Hưng Yên,3
34,Bà Rịa - Vũng Tàu,30
35,Phú Yên,72
36,Cao Bằng,37
37,Hải Phòng,10
38,Tuyên Quang,36
39,Đắk Lắk,175
40,Hải Dương,41
41,Kon Tum,12
42,Bạc Liêu,23
43,Đà Nẵng,8
44,Hoà Bình,4
45,Hà Giang,65
46,Thái Bình,2
47,Lạng Sơn,68
48,Sơn La,108
49,Cần Thơ,1
50,Vĩnh Long,3
51,Ninh Bình,10
52,Quảng Bình,21
53,Hậu Giang,24
54,Hà Nội,21
55,Bắc Ninh,22
56,Bình Phước,22
57,Hà Nam,17
58,Tây Ninh,21
59,Bình Dương,18
60,Nam Định,2
61,Yên Bái,48
62,An Giang,50
