,province,fire
0,Trà Vinh,20
1,Phú Thọ,19
2,Cà Mau,45
3,Thanh Hoá,154
4,Ninh Thuận,74
5,TP. Hồ Chí Minh,26
6,Quảng Nam,619
7,Bình Định,135
8,Bắc Giang,31
9,Đồng Nai,123
10,Bắc Kạn,44
11,Nghệ An,421
12,Bình Thuận,168
13,Tiền Giang,35
14,Đắk Nông,117
15,Quảng Trị,230
16,Long An,88
17,Điện Biên,474
18,Lai Châu,526
19,Quảng Ngãi,546
20,Hà Tĩnh,55
21,Thái Nguyên,64
22,Đồng Tháp,228
23,Sóc Trăng,134
24,Lâm Đồng,79
25,Khánh Hoà,83
26,Kiên Giang,148
27,Thừa Thiên - Huế,122
28,Quảng Ninh,127
29,Bến Tre,2
30,Gia Lai,324
31,Vĩnh Phúc,6
32,Lào Cai,29
33,Hưng Yên,1
34,Bà Rịa - Vũng Tàu,41
35,Phú Yên,262
36,Cao Bằng,24
37,Hải Phòng,10
38,Tuyên Quang,76
39,Đắk Lắk,323
40,Hải Dương,19
41,Kon Tum,167
42,Bạc Liêu,92
43,Đà Nẵng,16
44,Hoà Bình,47
45,Hà Giang,106
46,Thái Bình,5
47,Lạng Sơn,72
48,Sơn La,175
49,Cần Thơ,15
50,Vĩnh Long,1
51,Ninh Bình,30
52,Quảng Bình,91
53,Hậu Giang,4
54,Hà Nội,24
55,Bắc Ninh,11
56,Bình Phước,86
57,Hà Nam,11
58,Tây Ninh,58
59,Bình Dương,41
60,Nam Định,10
61,Yên Bái,29
62,An Giang,155
