,province,fire
0,Trà Vinh,2
1,Phú Thọ,11
2,Cà Mau,7
3,Thanh Hoá,0
4,Ninh Thuận,21
5,TP. Hồ Chí Minh,3
6,Quảng Nam,55
7,Bình Định,25
8,Bắc Giang,0
9,Đồng Nai,16
10,Bắc Kạn,30
11,Nghệ An,120
12,Bình Thuận,26
13,Tiền Giang,0
14,Đắk Nông,31
15,Quảng Trị,0
16,Long An,6
17,Điện Biên,180
18,Lai Châu,160
19,Quảng Ngãi,23
20,Hà Tĩnh,30
21,Thái Nguyên,11
22,Đồng Tháp,6
23,Sóc Trăng,1
24,Lâm Đồng,52
25,Khánh Hoà,19
26,Kiên Giang,13
27,Thừa Thiên - Huế,12
28,Quảng Ninh,23
29,Bến Tre,0
30,Gia Lai,44
31,Vĩnh Phúc,0
32,Lào Cai,30
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,2
35,Phú Yên,13
36,Cao Bằng,56
37,Hải Phòng,0
38,Tuyên Quang,33
39,Đắk Lắk,62
40,Hải Dương,0
41,Kon Tum,110
42,Bạc Liêu,1
43,Đà Nẵng,0
44,Hoà Bình,23
45,Hà Giang,1
46,Thái Bình,0
47,Lạng Sơn,30
48,Sơn La,167
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,3
52,Quảng Bình,22
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,33
57,Hà Nam,0
58,Tây Ninh,5
59,Bình Dương,2
60,Nam Định,0
61,Yên Bái,69
62,An Giang,0
