,province,fire
0,Trà Vinh,1
1,Phú Thọ,6
2,Cà Mau,2
3,Thanh Hoá,76
4,Ninh Thuận,16
5,TP. Hồ Chí Minh,9
6,Quảng Nam,333
7,Bình Định,102
8,Bắc Giang,1
9,Đồng Nai,34
10,Bắc Kạn,3
11,Nghệ An,419
12,Bình Thuận,29
13,Tiền Giang,10
14,Đắk Nông,12
15,Quảng Trị,63
16,Long An,31
17,Điện Biên,1
18,Lai Châu,1
19,Quảng Ngãi,375
20,Hà Tĩnh,159
21,Thái Nguyên,11
22,Đồng Tháp,26
23,Sóc Trăng,1
24,Lâm Đồng,13
25,Khánh Hoà,73
26,Kiên Giang,11
27,Thừa Thiên - Huế,59
28,Quảng Ninh,26
29,Bến Tre,0
30,Gia Lai,82
31,Vĩnh Phúc,7
32,Lào Cai,11
33,Hưng Yên,5
34,Bà Rịa - Vũng Tàu,15
35,Phú Yên,44
36,Cao Bằng,0
37,Hải Phòng,2
38,Tuyên Quang,14
39,Đắk Lắk,70
40,Hải Dương,15
41,Kon Tum,44
42,Bạc Liêu,1
43,Đà Nẵng,24
44,Hoà Bình,9
45,Hà Giang,11
46,Thái Bình,0
47,Lạng Sơn,9
48,Sơn La,24
49,Cần Thơ,0
50,Vĩnh Long,3
51,Ninh Bình,11
52,Quảng Bình,91
53,Hậu Giang,0
54,Hà Nội,20
55,Bắc Ninh,19
56,Bình Phước,26
57,Hà Nam,17
58,Tây Ninh,23
59,Bình Dương,22
60,Nam Định,26
61,Yên Bái,5
62,An Giang,12
