,province,fire
0,Trà Vinh,4
1,Phú Thọ,20
2,Cà Mau,7
3,Thanh Hoá,327
4,Ninh Thuận,97
5,TP. Hồ Chí Minh,21
6,Quảng Nam,965
7,Bình Định,93
8,Bắc Giang,64
9,Đồng Nai,95
10,Bắc Kạn,52
11,Nghệ An,494
12,Bình Thuận,109
13,Tiền Giang,23
14,Đắk Nông,72
15,Quảng Trị,315
16,Long An,34
17,Điện Biên,274
18,Lai Châu,143
19,Quảng Ngãi,470
20,Hà Tĩnh,140
21,Thái Nguyên,76
22,Đồng Tháp,57
23,Sóc Trăng,53
24,Lâm Đồng,72
25,Khánh Hoà,128
26,Kiên Giang,63
27,Thừa Thiên - Huế,90
28,Quảng Ninh,248
29,Bến Tre,10
30,Gia Lai,283
31,Vĩnh Phúc,4
32,Lào Cai,32
33,Hưng Yên,4
34,Bà Rịa - Vũng Tàu,45
35,Phú Yên,151
36,Cao Bằng,30
37,Hải Phòng,15
38,Tuyên Quang,73
39,Đắk Lắk,227
40,Hải Dương,40
41,Kon Tum,200
42,Bạc Liêu,49
43,Đà Nẵng,3
44,Hoà Bình,63
45,Hà Giang,72
46,Thái Bình,8
47,Lạng Sơn,110
48,Sơn La,198
49,Cần Thơ,2
50,Vĩnh Long,0
51,Ninh Bình,9
52,Quảng Bình,164
53,Hậu Giang,5
54,Hà Nội,36
55,Bắc Ninh,22
56,Bình Phước,61
57,Hà Nam,15
58,Tây Ninh,40
59,Bình Dương,38
60,Nam Định,7
61,Yên Bái,18
62,An Giang,85
