,province,fire
0,Trà Vinh,71
1,Phú Thọ,294
2,Cà Mau,286
3,Thanh Hoá,800
4,Ninh Thuận,3809
5,TP. Hồ Chí Minh,253
6,Quảng Nam,2290
7,Bình Định,306
8,Bắc Giang,440
9,Đồng Nai,940
10,Bắc Kạn,484
11,Nghệ An,1944
12,Bình Thuận,4751
13,Tiền Giang,1774
14,Đắk Nông,6912
15,Quảng Trị,1034
16,Long An,3671
17,Điện Biên,8681
18,Lai Châu,3455
19,Quảng Ngãi,1396
20,Hà Tĩnh,504
21,Thái Nguyên,411
22,Đồng Tháp,3868
23,Sóc Trăng,267
24,Lâm Đồng,3142
25,Khánh Hoà,728
26,Kiên Giang,5761
27,Thừa Thiên - Huế,539
28,Quảng Ninh,1701
29,Bến Tre,19
30,Gia Lai,24140
31,Vĩnh Phúc,29
32,Lào Cai,845
33,Hưng Yên,74
34,Bà Rịa - Vũng Tàu,522
35,Phú Yên,618
36,Cao Bằng,889
37,Hải Phòng,132
38,Tuyên Quang,592
39,Đắk Lắk,11828
40,Hải Dương,308
41,Kon Tum,17369
42,Bạc Liêu,165
43,Đà Nẵng,116
44,Hoà Bình,329
45,Hà Giang,584
46,Thái Bình,45
47,Lạng Sơn,1585
48,Sơn La,7371
49,Cần Thơ,4245
50,Vĩnh Long,543
51,Ninh Bình,75
52,Quảng Bình,971
53,Hậu Giang,1613
54,Hà Nội,34
55,Bắc Ninh,90
56,Bình Phước,1055
57,Hà Nam,133
58,Tây Ninh,1138
59,Bình Dương,589
60,Nam Định,73
61,Yên Bái,267
62,An Giang,3142
