,province,fire
0,Trà Vinh,16
1,Phú Thọ,6
2,Cà Mau,32
3,Thanh Hoá,98
4,Ninh Thuận,16
5,TP. Hồ Chí Minh,28
6,Quảng Nam,935
7,Bình Định,144
8,Bắc Giang,79
9,Đồng Nai,73
10,Bắc Kạn,38
11,Nghệ An,638
12,Bình Thuận,64
13,Tiền Giang,17
14,Đắk Nông,65
15,Quảng Trị,264
16,Long An,52
17,Điện Biên,11
18,Lai Châu,28
19,Quảng Ngãi,552
20,Hà Tĩnh,93
21,Thái Nguyên,14
22,Đồng Tháp,16
23,Sóc Trăng,9
24,Lâm Đồng,42
25,Khánh Hoà,71
26,Kiên Giang,109
27,Thừa Thiên - Huế,93
28,Quảng Ninh,85
29,Bến Tre,15
30,Gia Lai,135
31,Vĩnh Phúc,9
32,Lào Cai,47
33,Hưng Yên,4
34,Bà Rịa - Vũng Tàu,23
35,Phú Yên,88
36,Cao Bằng,22
37,Hải Phòng,12
38,Tuyên Quang,50
39,Đắk Lắk,168
40,Hải Dương,30
41,Kon Tum,105
42,Bạc Liêu,4
43,Đà Nẵng,9
44,Hoà Bình,33
45,Hà Giang,39
46,Thái Bình,16
47,Lạng Sơn,34
48,Sơn La,15
49,Cần Thơ,14
50,Vĩnh Long,4
51,Ninh Bình,14
52,Quảng Bình,97
53,Hậu Giang,3
54,Hà Nội,19
55,Bắc Ninh,25
56,Bình Phước,74
57,Hà Nam,4
58,Tây Ninh,31
59,Bình Dương,46
60,Nam Định,4
61,Yên Bái,26
62,An Giang,42
